number_of_trees,mtry,min_observations,terminal_nodes,accuracy
1500,1,1,1e3,0.7211872313288294
1500,1,1,2500,0.7215858094383293
1500,1,10,100,0.7202291676508099
1500,1,10,500,0.7211828026831681
1500,1,10,1e3,0.720914131513061
1500,1,10,2500,0.7219209102933537
1500,1,25,100,0.7206218408994279
1500,1,25,500,0.7207296046105157
1500,1,25,1e3,0.7215961429448725
1500,1,25,2500,0.7205967452406814
1500,1,50,100,0.7204535523643071
1500,1,50,500,0.7204712669469502
1500,1,50,1e3,0.7209362747413676
1500,1,50,2500,0.7210027044262842
1500,1,100,100,0.7204373139968822
1500,1,100,500,0.7207369856866171
1500,1,100,1e3,0.7203885988946108
1500,1,100,2500,0.721289090179036
1500,1,150,100,0.7201036893570792
1500,1,150,500,0.7217378596060282
1500,1,150,1e3,0.7205819830884779
1500,1,150,2500,0.7222633922244788
1500,2,1,100,0.7257236407010244
1500,2,1,500,0.7286450706221363
1500,2,1,1e3,0.729406797675847
1500,2,1,2500,0.7299662832443669
1500,2,10,100,0.7250475341300963
1500,2,10,500,0.7287277386744772
1500,2,10,1e3,0.7293861306627619
1500,2,10,2500,0.7301345717794894
1500,2,25,100,0.7250652487127398
1500,2,25,500,0.7287572629788839
1500,2,25,1e3,0.7295263711086961
1500,2,25,2500,0.7304829585714959
1500,2,50,100,0.7251966318673537
1500,2,50,500,0.7288975034248196
1500,2,50,1e3,0.7298732816854828
1500,2,50,2500,0.7302334781992542
1500,2,100,100,0.7265016061221601
1500,2,100,500,0.7289344088053281
1500,2,100,1e3,0.7298393287354149
1500,2,100,2500,0.7300947139685383
1500,2,150,100,0.7254579219613589
1500,2,150,500,0.7290052671359057
1500,2,150,1e3,0.7297581368982952
1500,2,150,2500,0.7302379068449142
1500,3,1,100,0.7251139638150128
1500,3,1,500,0.7309258231376068
1500,3,1,1e3,0.7331800037791107
1500,3,1,2500,0.7345971703906659
1500,3,10,100,0.7251803934999289
1500,3,10,500,0.7309966814681849
1500,3,10,1e3,0.7332641480466721
1500,3,10,2500,0.7355818059426519
1500,3,25,100,0.7253693490481361
1500,3,25,500,0.731247638055647
1500,3,25,1e3,0.7332892437054187
1500,3,25,2500,0.7366919197883695
1500,3,50,100,0.7251936794369122
1500,3,50,500,0.7320403656289854
1500,3,50,1e3,0.7332921961358589
1500,3,50,2500,0.7376721266946952
1500,3,100,100,0.7263096981435111
1500,3,100,500,0.7326958051868299
1500,3,100,1e3,0.733668631017053
1500,3,100,2500,0.7382138976805711
1500,3,150,100,0.7265414639331097
1500,3,150,500,0.7330368109027349
1500,3,150,1e3,0.7341247815201472
1500,3,150,2500,0.7388117648448205
1500,4,1,100,0.7270965208559681
1500,4,1,500,0.7293654636496771
1500,4,1,1e3,0.732923142330767
1500,4,1,2500,0.7353116585573244
1500,4,10,100,0.7270876635646467
1500,4,10,500,0.7290997449100101
1500,4,10,1e3,0.7329128088242239
1500,4,10,2500,0.7357766663517409
1500,4,25,100,0.7269607090556942
1500,4,25,500,0.729169127025367
1500,4,25,1e3,0.7334043884926077
1500,4,25,2500,0.7360084321413382
1500,4,50,100,0.7271481883886812
1500,4,50,500,0.7294156549671684
