number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
500,193,193,0.005,1,20,0.2630516
500,1,1,0.005,5,2,0.2802487
500,1,1,0.005,5,4,0.2800558
500,1,1,0.005,5,6,0.2756941
500,2,2,0.005,5,10,0.2702381
500,71,71,0.005,5,20,0.2611248
500,1,1,0.005,20,2,0.2802486
500,1,1,0.005,20,4,0.280111
500,39,39,0.005,20,6,0.2756663
500,8,8,0.005,20,10,0.2708993
500,6,6,0.005,20,20,0.2618137
500,1,1,0.005,50,2,0.2802486
500,1,1,0.005,50,4,0.2802033
500,1,1,0.005,50,6,0.2757195
500,1,1,0.005,50,10,0.2716117
500,14,14,0.005,50,20,0.26258329999999996
500,1,1,0.005,100,2,0.2802487
500,1,1,0.005,100,4,0.2802486
500,6,6,0.005,100,6,0.2757157
500,2,2,0.005,100,10,0.2721923
500,41,41,0.005,100,20,0.2645535
500,1,1,0.01,1,2,0.2802486
500,5,5,0.01,1,4,0.2802507
500,20,20,0.01,1,6,0.2756409
500,13,13,0.01,1,10,0.27113740000000003
500,111,111,0.01,1,20,0.2631404
500,1,1,0.01,5,2,0.2802486
500,1,1,0.01,5,4,0.2802527
500,32,32,0.01,5,6,0.275623
500,13,13,0.01,5,10,0.2705076
500,42,42,0.01,5,20,0.260985
500,1,1,0.01,20,2,0.2802488
500,1,1,0.01,20,4,0.2799986
500,1,1,0.01,20,6,0.2757177
500,2,2,0.01,20,10,0.2707673
500,46,46,0.01,20,20,0.2618884
500,1,1,0.01,50,2,0.2802485
500,1,1,0.01,50,4,0.2802034
500,1,1,0.01,50,6,0.2757512
500,2,2,0.01,50,10,0.2719916
500,7,7,0.01,50,20,0.2627958
500,1,1,0.01,100,2,0.2802486
500,1,1,0.01,100,4,0.2802486
500,5,5,0.01,100,6,0.2757629
500,1,1,0.01,100,10,0.2720171
500,1,1,0.01,100,20,0.2644434
500,1,1,0.03,1,2,0.2802486
500,1,1,0.03,1,4,0.2799534
500,15,15,0.03,1,6,0.2756214
500,21,21,0.03,1,10,0.2691218
500,89,89,0.03,1,20,0.2623115
500,1,1,0.03,5,2,0.2802487
